Cluster to run ; Job name ; Cluster 0 ; Cluster 1 ; Cluster 2 ; Cluster 3 ; Cluster 4 ; Cluster 5 ; Cluster 6 ; Cluster 7
1 ; Job0 ; 0. ; 9.999999747e-005 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
1 ; Job2 ; 2.499999828e-004 ; 0.2001000047 ; 2.499999828e-004 ; 2.499999828e-004 ; 2.499999828e-004 ; 2.499999828e-004 ; 2.499999828e-004 ; 2.499999828e-004
1 ; Job4 ; 9.999999311e-004 ; 0.2001000047 ; 9.999999311e-004 ; 9.999999311e-004 ; 9.999999311e-004 ; 9.999999311e-004 ; 9.999999311e-004 ; 9.999999311e-004
1 ; Job3 ; 1.750000054e-003 ; 0.2001000047 ; 1.750000054e-003 ; 1.750000054e-003 ; 1.750000054e-003 ; 1.750000054e-003 ; 1.750000054e-003 ; 1.750000054e-003
1 ; Job1 ; 2.250000136e-003 ; 0.2001000047 ; 2.250000136e-003 ; 2.250000136e-003 ; 2.250000136e-003 ; 2.250000136e-003 ; 2.250000136e-003 ; 2.250000136e-003
1 ; Job5 ; 2.749999985e-003 ; 0.8001000285 ; 2.749999985e-003 ; 2.749999985e-003 ; 2.749999985e-003 ; 2.749999985e-003 ; 2.749999985e-003 ; 2.749999985e-003
5 ; Job9 ; 3.000000026e-003 ; 0. ; 3.000000026e-003 ; 3.000000026e-003 ; 3.000000026e-003 ; 3.100000089e-003 ; 3.000000026e-003 ; 3.000000026e-003
7 ; Job14 ; 3.249999834e-003 ; 0. ; 3.249999834e-003 ; 3.249999834e-003 ; 3.249999834e-003 ; 1.249999972e-003 ; 3.249999834e-003 ; 3.349999897e-003
5 ; Job11 ; 3.500000108e-003 ; 0. ; 3.500000108e-003 ; 3.500000108e-003 ; 3.500000108e-003 ; 0.2016000003 ; 3.500000108e-003 ; 1.500000013e-003
5 ; Job12 ; 3.750000149e-003 ; 0. ; 3.750000149e-003 ; 3.750000149e-003 ; 3.750000149e-003 ; 0.2001000047 ; 3.750000149e-003 ; 1.75000017e-003
5 ; Job10 ; 3.999999724e-003 ; 0. ; 3.999999724e-003 ; 3.999999724e-003 ; 3.999999724e-003 ; 0.2001000047 ; 3.999999724e-003 ; 1.999999862e-003
7 ; Job16 ; 4.250000231e-003 ; 0. ; 4.250000231e-003 ; 4.250000231e-003 ; 4.250000231e-003 ; 0. ; 4.250000231e-003 ; 0.2023500055
7 ; Job15 ; 4.999999888e-003 ; 0. ; 4.999999888e-003 ; 4.999999888e-003 ; 4.999999888e-003 ; 0. ; 4.999999888e-003 ; 0.2001000047
7 ; Job17 ; 5.49999997e-003 ; 0. ; 5.49999997e-003 ; 5.49999997e-003 ; 5.49999997e-003 ; 0. ; 5.49999997e-003 ; 0.4000999928
5 ; Job13 ; 6.250000093e-003 ; 0. ; 6.250000093e-003 ; 6.250000093e-003 ; 6.250000093e-003 ; 0.6001000404 ; 6.250000093e-003 ; 0.
7 ; Job18 ; 6.499999668e-003 ; 0. ; 6.499999668e-003 ; 6.499999668e-003 ; 6.499999668e-003 ; 0. ; 6.499999668e-003 ; 0.2001000047
7 ; Job19 ; 7.249999791e-003 ; 0. ; 7.249999791e-003 ; 7.249999791e-003 ; 7.249999791e-003 ; 0. ; 7.249999791e-003 ; 0.2001000047
3 ; Job6 ; 7.499999367e-003 ; 0. ; 7.499999367e-003 ; 7.599999197e-003 ; 7.499999367e-003 ; 0. ; 7.499999367e-003 ; 0.
0 ; Job20 ; 7.999999449e-003 ; 9.999999747e-005 ; 7.999999449e-003 ; 3.999999724e-003 ; 7.999999449e-003 ; 0. ; 7.999999449e-003 ; 0.
3 ; Job7 ; 6.249999627e-003 ; 0. ; 8.249999955e-003 ; 0.2043499947 ; 8.249999955e-003 ; 0. ; 8.249999955e-003 ; 0.
0 ; Job22 ; 0.2070000023 ; 9.999999747e-005 ; 8.999999613e-003 ; 0. ; 8.999999613e-003 ; 0. ; 8.999999613e-003 ; 0.
0 ; Job24 ; 0.2017499954 ; 9.999999747e-005 ; 9.74999927e-003 ; 0. ; 9.74999927e-003 ; 0. ; 9.74999927e-003 ; 0.
0 ; Job23 ; 0.200000003 ; 9.999999747e-005 ; 1.049999986e-002 ; 5.000002566e-004 ; 1.049999986e-002 ; 5.000002566e-004 ; 1.049999986e-002 ; 0.
0 ; Job21 ; 0.200000003 ; 9.999999747e-005 ; 1.099999994e-002 ; 1.000000513e-003 ; 1.099999994e-002 ; 1.000000513e-003 ; 1.099999994e-002 ; 0.
3 ; Job8 ; 0. ; 0. ; 1.149999909e-002 ; 0.2016000003 ; 1.149999909e-002 ; 1.500000013e-003 ; 1.149999909e-002 ; 0.
0 ; Job25 ; 0.8000000119 ; 3.499999875e-004 ; 1.199999917e-002 ; 0. ; 1.199999917e-002 ; 1.999999629e-003 ; 1.199999917e-002 ; 0.
2 ; Job164 ; 0. ; 0. ; 1.225000061e-002 ; 0. ; 1.225000061e-002 ; 2.350000897e-003 ; 1.225000061e-002 ; 0.
4 ; Job249 ; 0. ; 0. ; 1.050000079e-002 ; 0. ; 1.250000019e-002 ; 2.500000643e-003 ; 1.250000019e-002 ; 9.999999747e-005
2 ; Job166 ; 0. ; 0. ; 0.2107499987 ; 0. ; 1.075000037e-002 ; 2.850000514e-003 ; 1.274999976e-002 ; 0.
4 ; Job251 ; 0. ; 0. ; 8.999999613e-003 ; 0. ; 0.2109999955 ; 3.000000026e-003 ; 1.299999934e-002 ; 9.999999747e-005
2 ; Job165 ; 0. ; 0. ; 0.2097499967 ; 0. ; 5.74999908e-003 ; 3.849999513e-003 ; 1.374999899e-002 ; 0.
2 ; Job167 ; 0. ; 0. ; 0.2080000043 ; 0. ; 5.999998655e-003 ; 4.099999089e-003 ; 1.399999857e-002 ; 0.
4 ; Job250 ; 0. ; 0. ; 6.250000093e-003 ; 2.500012633e-004 ; 0.206249997 ; 4.250000231e-003 ; 1.425000001e-002 ; 9.999999747e-005
4 ; Job252 ; 0. ; 0. ; 6.749999709e-003 ; 7.500007632e-004 ; 0.4027499855 ; 4.749999847e-003 ; 1.474999916e-002 ; 9.999999747e-005
2 ; Job168 ; 0. ; 0. ; 0.6075000167 ; 1.500001526e-003 ; 0. ; 5.600000732e-003 ; 1.549999975e-002 ; 0.
4 ; Job253 ; 0. ; 0. ; 5.750000477e-003 ; 1.750001335e-003 ; 0.200000003 ; 5.750000477e-003 ; 1.575000025e-002 ; 9.999999747e-005
4 ; Job254 ; 0. ; 0. ; 6.499999668e-003 ; 2.500000643e-003 ; 0.200000003 ; 6.499999668e-003 ; 1.649999991e-002 ; 9.999999747e-005
6 ; Job26 ; 0. ; 9.999999747e-005 ; 6.749999709e-003 ; 2.750000451e-003 ; 0. ; 6.749999709e-003 ; 1.674999855e-002 ; 0.
6 ; Job28 ; 0. ; 9.999999747e-005 ; 6.999999285e-003 ; 3.000000026e-003 ; 0. ; 6.999999285e-003 ; 0.2150000036 ; 0.
6 ; Job30 ; 0. ; 9.999999747e-005 ; 7.749999873e-003 ; 3.750000848e-003 ; 0. ; 7.749999873e-003 ; 0.2097499967 ; 0.
6 ; Job27 ; 0. ; 9.999999747e-005 ; 8.499999531e-003 ; 4.500000272e-003 ; 0. ; 8.499999531e-003 ; 0.2045000046 ; 0.
6 ; Job29 ; 0. ; 9.999999747e-005 ; 9.000000544e-003 ; 5.000001285e-003 ; 0. ; 9.000000544e-003 ; 0.201000005 ; 0.
6 ; Job31 ; 2.499999828e-004 ; 3.499999875e-004 ; 9.499999695e-003 ; 5.500000902e-003 ; 0. ; 9.499999695e-003 ; 0.8000000119 ; 0.
5 ; Job169 ; 0. ; 0. ; 9.74999927e-003 ; 5.750000477e-003 ; 0. ; 9.8499991e-003 ; 0. ; 0.
2 ; Job255 ; 0. ; 0. ; 9.999999776e-003 ; 6.000000052e-003 ; 0. ; 7.999999449e-003 ; 0. ; 9.999999747e-005
5 ; Job171 ; 0. ; 0. ; 8.249999955e-003 ; 6.250000093e-003 ; 0. ; 0.2083500028 ; 0. ; 0.
2 ; Job257 ; 0. ; 0. ; 0.2084999979 ; 6.499999668e-003 ; 0. ; 6.499999668e-003 ; 0. ; 9.999999747e-005
5 ; Job172 ; 0. ; 0. ; 3.249999834e-003 ; 7.250000723e-003 ; 0. ; 0.2073500007 ; 0. ; 0.
5 ; Job170 ; 0. ; 0. ; 3.499999642e-003 ; 7.500000298e-003 ; 0. ; 0.2056000084 ; 0. ; 0.
