Job name ; Cluster 0 ; Cluster 1 ; Cluster 2 ; Cluster 3 ; Cluster 4 ; Cluster 5 ; Cluster 6 ; Cluster 7
Job0 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job2 ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job4 ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job3 ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job1 ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job5 ; 0. ; 8. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job9 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job14 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job11 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job12 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job10 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job16 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job15 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job17 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 4.
Job13 ; 0. ; 0. ; 0. ; 0. ; 0. ; 6. ; 0. ; 0.
Job18 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job19 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job6 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job20 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job7 ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0.
Job22 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job24 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job23 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job21 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job8 ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0.
Job25 ; 8. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job164 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job249 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job166 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job251 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job165 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job167 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job250 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job252 ; 0. ; 0. ; 0. ; 0. ; 4. ; 0. ; 0. ; 0.
Job168 ; 0. ; 0. ; 6. ; 0. ; 0. ; 0. ; 0. ; 0.
Job253 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job254 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job26 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job28 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0.
Job30 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0.
Job27 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0.
Job29 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0.
Job31 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 8. ; 0.
Job169 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job255 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job171 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job257 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job172 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job170 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job256 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job134 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job258 ; 0. ; 0. ; 4. ; 0. ; 0. ; 0. ; 0. ; 0.
Job173 ; 0. ; 0. ; 0. ; 0. ; 0. ; 6. ; 0. ; 0.
Job135 ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0.
Job259 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job136 ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0.
Job260 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job32 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job34 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job36 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job35 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job33 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job37 ; 0. ; 0. ; 0. ; 0. ; 0. ; 8. ; 0. ; 0.
Job174 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job261 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job176 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job177 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job175 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job263 ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job262 ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job264 ; 0. ; 4. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job178 ; 6. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job265 ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job266 ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job38 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job40 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0.
Job42 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0.
Job41 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0.
Job39 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0.
Job43 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 8. ; 0.
Job137 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job138 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job139 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job179 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job267 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job181 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job269 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job182 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job180 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job268 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job270 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 4.
Job183 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 6.
Job271 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job44 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job272 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 2.
Job48 ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0.
Job46 ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0.
Job47 ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0.
Job45 ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0.
Job49 ; 0. ; 0. ; 0. ; 8. ; 0. ; 0. ; 0. ; 0.
Job184 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job273 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job186 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job187 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job185 ; 2. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job275 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job274 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job276 ; 0. ; 0. ; 4. ; 0. ; 0. ; 0. ; 0. ; 0.
Job50 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job188 ; 6. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job140 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job277 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job54 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job52 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job53 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job51 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job278 ; 0. ; 0. ; 2. ; 0. ; 0. ; 0. ; 0. ; 0.
Job141 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job55 ; 0. ; 0. ; 0. ; 0. ; 8. ; 0. ; 0. ; 0.
Job142 ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0. ; 0.
Job189 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job279 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job191 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
Job192 ; 0. ; 0. ; 0. ; 0. ; 0. ; 2. ; 0. ; 0.
