Job name ; Cluster 0 ; Cluster 1 ; Cluster 2 ; Cluster 3 ; Cluster 4 ; Cluster 5 ; Cluster 6 ; Cluster 7
Job0 ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0. ; 0.
Job2 ; 2.499999944e-004 ; 0. ; 2.499999944e-004 ; 2.499999944e-004 ; 2.499999944e-004 ; 2.499999944e-004 ; 2.499999944e-004 ; 3.12499993e-004
Job4 ; 9.999999776e-004 ; 0. ; 9.999999776e-004 ; 9.999999776e-004 ; 9.999999776e-004 ; 9.999999776e-004 ; 9.999999776e-004 ; 1.249999972e-003
Job3 ; 1.750000007e-003 ; 0. ; 1.750000007e-003 ; 1.750000007e-003 ; 1.750000007e-003 ; 1.750000007e-003 ; 1.750000007e-003 ; 2.187500009e-003
Job1 ; 2.250000089e-003 ; 0. ; 2.250000089e-003 ; 2.250000089e-003 ; 2.250000089e-003 ; 2.250000089e-003 ; 2.250000089e-003 ; 2.812500112e-003
Job5 ; 2.749999985e-003 ; 0. ; 2.749999985e-003 ; 2.749999985e-003 ; 2.749999985e-003 ; 2.749999985e-003 ; 2.749999985e-003 ; 3.437499981e-003
Job9 ; 2.999999933e-003 ; 0. ; 2.999999933e-003 ; 2.999999933e-003 ; 2.999999933e-003 ; 2.999999933e-003 ; 2.999999933e-003 ; 3.749999916e-003
Job14 ; 3.249999881e-003 ; 0. ; 3.249999881e-003 ; 3.249999881e-003 ; 3.249999881e-003 ; 1.249999925e-003 ; 3.249999881e-003 ; 4.062499851e-003
Job11 ; 3.500000015e-003 ; 0. ; 3.500000015e-003 ; 3.500000015e-003 ; 3.500000015e-003 ; 1.50000006e-003 ; 3.500000015e-003 ; 1.875000075e-003
Job12 ; 3.750000149e-003 ; 0. ; 3.750000149e-003 ; 3.750000149e-003 ; 3.750000149e-003 ; 0. ; 3.750000149e-003 ; 2.187500242e-003
Job10 ; 3.999999911e-003 ; 0. ; 3.999999911e-003 ; 3.999999911e-003 ; 3.999999911e-003 ; 0. ; 3.999999911e-003 ; 2.499999944e-003
Job16 ; 4.250000045e-003 ; 0. ; 4.250000045e-003 ; 4.250000045e-003 ; 4.250000045e-003 ; 0. ; 4.250000045e-003 ; 2.812500112e-003
Job15 ; 4.999999702e-003 ; 0. ; 4.999999702e-003 ; 4.999999702e-003 ; 4.999999702e-003 ; 0. ; 4.999999702e-003 ; 0.
Job17 ; 5.49999997e-003 ; 0. ; 5.49999997e-003 ; 5.49999997e-003 ; 5.49999997e-003 ; 0. ; 5.49999997e-003 ; 0.
Job13 ; 6.25e-003 ; 0. ; 6.25e-003 ; 6.25e-003 ; 6.25e-003 ; 0. ; 6.25e-003 ; 0.
Job18 ; 6.499999762e-003 ; 0. ; 6.499999762e-003 ; 6.499999762e-003 ; 6.499999762e-003 ; 0. ; 6.499999762e-003 ; 0.
Job19 ; 7.249999791e-003 ; 0. ; 7.249999791e-003 ; 7.249999791e-003 ; 7.249999791e-003 ; 0. ; 7.249999791e-003 ; 0.
Job6 ; 7.499999553e-003 ; 0. ; 7.499999553e-003 ; 7.499999553e-003 ; 7.499999553e-003 ; 0. ; 7.499999553e-003 ; 0.
Job20 ; 7.999999821e-003 ; 0. ; 7.999999821e-003 ; 3.999999911e-003 ; 7.999999821e-003 ; 0. ; 7.999999821e-003 ; 0.
Job7 ; 6.249999627e-003 ; 0. ; 8.249999583e-003 ; 4.249999672e-003 ; 8.249999583e-003 ; 0. ; 8.249999583e-003 ; 0.
Job22 ; 6.999999285e-003 ; 0. ; 8.999999613e-003 ; 0. ; 8.999999613e-003 ; 0. ; 8.999999613e-003 ; 0.
Job24 ; 1.749999821e-003 ; 0. ; 9.749999642e-003 ; 0. ; 9.749999642e-003 ; 0. ; 9.749999642e-003 ; 0.
Job23 ; 0. ; 0. ; 1.049999967e-002 ; 5.000002682e-004 ; 1.049999967e-002 ; 5.000002682e-004 ; 1.049999967e-002 ; 0.
Job21 ; 0. ; 0. ; 1.099999994e-002 ; 1.000000536e-003 ; 1.099999994e-002 ; 1.000000536e-003 ; 1.099999994e-002 ; 0.
Job8 ; 0. ; 0. ; 1.149999946e-002 ; 1.50000006e-003 ; 1.149999946e-002 ; 1.50000006e-003 ; 1.149999946e-002 ; 0.
Job25 ; 0. ; 0. ; 1.199999899e-002 ; 0. ; 1.199999899e-002 ; 1.999999583e-003 ; 1.199999899e-002 ; 0.
Job164 ; 0. ; 0. ; 1.225000024e-002 ; 0. ; 1.225000024e-002 ; 2.250000834e-003 ; 1.225000024e-002 ; 0.
Job249 ; 0. ; 0. ; 1.050000042e-002 ; 0. ; 1.25e-002 ; 2.500000596e-003 ; 1.25e-002 ; 0.
Job166 ; 0. ; 0. ; 1.075000018e-002 ; 0. ; 1.075000018e-002 ; 2.750000358e-003 ; 1.274999976e-002 ; 0.
Job251 ; 0. ; 0. ; 8.999999613e-003 ; 0. ; 1.099999994e-002 ; 3.000000119e-003 ; 1.299999952e-002 ; 0.
Job165 ; 0. ; 0. ; 9.749998897e-003 ; 0. ; 5.749998987e-003 ; 3.749999404e-003 ; 1.374999881e-002 ; 0.
Job167 ; 0. ; 0. ; 7.999998331e-003 ; 0. ; 5.999998748e-003 ; 3.999999166e-003 ; 1.399999857e-002 ; 0.
